organization,address,zipcode,city,country,website,lat,lng
"Swiss Federal Institute of Technology, Institute of geotechnics",Rämistrasse 101,8092,Zürich,Switzerland,https://www.ethz.ch/de.html,47.376313,8.5476699
MIREKO State Company,"Gromova st. 75,  Komi Republic",167983,Syktyvkar,Russia,http://www.mireko.ru/en,61.6478508,50.8339029
British Antarctic Survey,"Madingley Road, High Cross",CB3 0ET,Cambridge,United Kingdom,http://www.antarctica.ac.uk/index.php,52.212991,0.080016
Japan Agency for Marine-Earth Science and Technology,2-15 NATSUSHIMA-cho,237-0061,Yokosuka,Japan,http://www.jamstec.go.jp/e/index.html,35.320171,139.649923
The University Centre in Svalbard,The University Centre in Svalbard - Pb. 156,9171,Longyearbyen,Norway,http://www.unis.no/,78.2226819,15.6516987
University of Alaska Fairbanks Institute of Northern Engineering,PO Box 755910 539 Duckering Building 306 Tanana Loop,99775-5910,Fairbanks,USA,http://ine.uaf.edu/,64.8560662,-147.8180158
University of Barcelona Faculty of Geography and History,"Montalegre, 6",8001,Barcelona,Spain,http://www.ub.edu/geofis,41.3843563,2.166936
University of Alaska Fairbanks Water and Environmental Research Center,"University of Alaska Fairbanks, Duckering Building 437 306 Tanana Loop P. O. Box 5860",99775-5860,Fairbanks,USA,http://ine.uaf.edu/werc/,64.8560662,-147.8180158
National Science Foundation,"The National Science Foundation, 4201 Wilson Boulevard,",22230,Arlington,USA,http://www.nsf.gov/,38.8016276,-77.0704465
The University of British Columbia,Vancouver Campus 2329 West Mall,V6T 1Z4,Vancouver,Canada,http://www.ubc.ca/,49.2606052,-123.2459938
Gjøvik University College,"Teknologivn. 22,",2815,Gjøvik,Norway,http://www.hig.no/,60.7897318,10.6821927
"Komarov Botanical Institute, RAS",Popova 2,197376,St. Petersburg,Russia,http://www.binran.ru/,59.97037,30.3194826
Austrian Academy of Sciences,"Österreichische Akademie der Wissenschaften (ÖAW), Dr. Ignaz Seipel-Platz 2",1010,Wien,Austria,http://www.oeaw.ac.at/,48.2088405,16.3771845
University of Basel,Petersplatz 1,4003,Basel,Switzerland,http://www.unibas.ch/,47.5602535,7.5826
